time,sel_coef,mu_prob,Ne,L,k_start,q_prob,mean_fitness,epistasis_coef
330000,0.00100,0.00010,100,100,0,0.0100,0.79841852,1.42578182
331000,0.00100,0.00010,100,100,0,0.0100,0.79883461,1.42594676
332000,0.00100,0.00010,100,100,0,0.0100,0.80053177,1.42476704
333000,0.00100,0.00010,100,100,0,0.0100,0.80243577,1.42625948
334000,0.00100,0.00010,100,100,0,0.0100,0.79802621,1.43253447
335000,0.00100,0.00010,100,100,0,0.0100,0.80047131,1.43376236
336000,0.00100,0.00010,100,100,0,0.0100,0.80114473,1.43582425
337000,0.00100,0.00010,100,100,0,0.0100,0.79878716,1.43503171
338000,0.00100,0.00010,100,100,0,0.0100,0.79512399,1.42954558
339000,0.00100,0.00010,100,100,0,0.0100,0.79158636,1.43322366
340000,0.00100,0.00010,100,100,0,0.0100,0.79342165,1.42946307
341000,0.00100,0.00010,100,100,0,0.0100,0.79647870,1.42404832
342000,0.00100,0.00010,100,100,0,0.0100,0.79526059,1.42558212
343000,0.00100,0.00010,100,100,0,0.0100,0.79690177,1.42676233
344000,0.00100,0.00010,100,100,0,0.0100,0.79460151,1.41722812
345000,0.00100,0.00010,100,100,0,0.0100,0.79639956,1.42037636
346000,0.00100,0.00010,100,100,0,0.0100,0.79573928,1.42166922
347000,0.00100,0.00010,100,100,0,0.0100,0.79658405,1.42641864
348000,0.00100,0.00010,100,100,0,0.0100,0.79861627,1.42187081
349000,0.00100,0.00010,100,100,0,0.0100,0.79764316,1.41360975
350000,0.00100,0.00010,100,100,0,0.0100,0.79552862,1.41414286
351000,0.00100,0.00010,100,100,0,0.0100,0.79567271,1.40784319
352000,0.00100,0.00010,100,100,0,0.0100,0.79261347,1.41336463
353000,0.00100,0.00010,100,100,0,0.0100,0.79260514,1.40988865
354000,0.00100,0.00010,100,100,0,0.0100,0.79081928,1.40777638
355000,0.00100,0.00010,100,100,0,0.0100,0.78855313,1.40649589
356000,0.00100,0.00010,100,100,0,0.0100,0.77689333,1.40343397
357000,0.00100,0.00010,100,100,0,0.0100,0.77434048,1.39873645
358000,0.00100,0.00010,100,100,0,0.0100,0.77709680,1.39205200
